Question,Category,Success,runtime beats,memory beats,Level,Calls library?,success 2nd try,,Language,why fail
Count and Say,Array and Strings,Yes,UC,UC,Medium,,,,Ruby,
Add Two Numbers,Linked List,Yes,93.67,28.17,Medium,,,,Ruby,
Odd Even Linked List,Linked List,Yes,UC,64.1,Medium,,,,Ruby,
Intersection of Two Linked Lists,Linked List,Yes,73.44,93.75,Medium,,,,Ruby,
Binary Tree INorder Traversal,Trees and Graphs,Yes,60.38,42.45,Medium,,,,Ruby,
Binary Tree Zigzag Level Order Traversal,Trees and Graphs,"No, Wrong Answer. It returns the zigzag order for odd levels, instead of the intended odd levels order. It gets it right after you tell it its wrong and give an example. It also gets it right the first time if you provide the examples.",27.82,98.5,Medium,,,,Ruby,
Construct Binary Tree from Preorder and INorder Traversal,Trees and Graphs,"No, runtime error. When right Node doesnt have any examples you cant use + apparently. When attempting to fix the same error it produces a very similar error",26.28,48.34,Medium,,,,Ruby,
Populating Next Right Pointers in Each Node,Trees and Graphs,Yes,UC,56.41,Medium,,,,Ruby,
Kth Smallest Element in a BST,Trees and Graphs,Yes,68.52,31.48,Medium,,,,Ruby,
Number of Islands,Trees and Graphs,Yes,97.12,54.68,Medium,,,,Ruby,
Letter Combinations of a Phone Number,Backtracking,"No, Runtime error. The scoop is Not defined properly. I think Ruby doesn't have a gloabal scoop which this guy assumes.",97.02,67.86,Medium,,,,Ruby,
Generate Parentheses,Backtracking,Yes,58.47,34.75,Medium,,,,Ruby,
Permutations,Backtracking,Yes,88.3,UC,Medium,,,,Ruby,
Subsets,Backtracking,Yes,67.69,UC,Medium,,,,Ruby,
Word Search,Backtracking,"No, Runtime error. Again, a problem with scoop",-,-,Medium,,,,Ruby,
Sort Colors,Sorting and Searching,Yes,28.77,41.1,Medium,,,,Ruby,
Top K Frequent Elements,Sorting and Searching,Yes,54.65,81.98,Medium,,,,Ruby,
Kth Largest Element in an Array,Sorting and Searching,Yes,UC,96.36,Medium,,,,Ruby,
Find Peak Element,Sorting and Searching,Yes,32.2,71.19,Medium,,,,Ruby,
Search for a Range,Sorting and Searching,"No, Wrong answer. Logic error",-,-,Medium,,,,Ruby,
Merge Intervals,Sorting and Searching,Yes,-,61.04,Medium,,,,Ruby,
Search in Rotated Sorted Array,Sorting and Searching,Yes,81.3,63.41,Medium,,,,Ruby,
Search a 2D Matrix II,Dynamic Programming,Yes,UC,18.75,Medium,,,,Ruby,
Jump Game,Dynamic Programming,Yes,UC,87.5,Medium,,,,Ruby,
Unique Paths,Dynamic Programming,Yes,95.24,44.05,Medium,,,,Ruby,
Coin Change,Dynamic Programming,Yes,UC,92,Medium,,,,Ruby,
Longest Increasing Subsequence,Design,Yes,UC,89.47,Medium,,,,Ruby,
Serialize and Deserialize Binary Tree,Design,"No, Runtime error. Doesn't guard against nil and try to access variables.",-,-,Medium,,,,Ruby,
Insert Delete GetRandom O(1),Others,Yes,UC,UC,Medium,,,,Ruby,
Sum of Two Integers,Others,"No, Time limit exceeded. Potentially doesnt kNow how to use bit wise operators in Ruby.",-,-,Medium,,,,Ruby,
Evaluate Reverse Polish Notation,Others,"No, Wrong answer. He fails to get the right answer even with examples",66.47,95.96,Medium,,,,Ruby,
Majority Element,Others,Yes,74.26,52.21,Medium,,,,Ruby,
Task Scheduler,Math,"No, Wrong answer.  Gets a right asnwer if fed the examples.",UC,77.42,Medium,,,,Ruby,
Happy Number,Math,Yes,72.97,43.24,Medium,,,,Ruby,
Factorial Trailing Zeroes,Math,Yes,UC,UC,Medium,,,,Ruby,
Excel Sheet Column Number,Math,Yes,47.06,86.27,Medium,,,,Ruby,
"Pow(x, n)",Math,Yes,19.23,71.15,Medium,,,,Ruby,
Sqrt(x),Math,Yes,61.11,UC,Medium,,,,Ruby,
Divide Two Integers,Math,"No, Time limit exceeded. Even when the examples are provided",-,-,Medium,,,,Ruby,
Fraction to Recurring Decimal,,"No, Wrong answer. It fails when the examples are Not provided. But it also fails (differently) when they are",-,-,Medium,,,,Ruby,
,,,,,,,,,,
Product of Array Except Self,Array and Strings,Yes,88.74,85.43,Hard,,,,Ruby,
Spiral Matrix,Array and Strings,Yes,29.82,68.42,Hard,,,,Ruby,
4Sum II,Array and Strings,Yes,UC,UC,Hard,,,,Ruby,
Container With Most Water,Array and Strings,Yes,14.36,49.23,Hard,,,,Ruby,
Game of Life,Array and Strings,Yes,UC,UC,Hard,,,,Ruby,
First Missing Positive,Array and Strings,"No, Runtime Error. Trying to acess NilClass",,,Hard,,,,Ruby,
Longest Consecutive Sequence,Array and Strings,Yes,UC,31.94,Hard,,,,Ruby,
Find the Duplicate Number,Array and Strings,Yes,UC,77.08,Hard,,,,Ruby,
Basic Calculator II,Array and Strings,"No, Wrong answer. With the operations thing again",,,Hard,,,,Ruby,
Sliding Window Maximum,Array and Strings,"No, Time limit Exceeded",,,Hard,,,,Ruby,
Minimum Window Substring,Array and Strings,Yes,UC,50,Hard,,,,Ruby,
Merge k Sorted Lists,Linked List,Yes,57.38,90.16,Hard,,,,Ruby,
Sort List,Linked List,Yes,UC,53.13,Hard,,,,Ruby,
Copy List with Random Pointer,Linked List,"No, Wrong asnwer. Probably can do it with examples. Didn't try",,,Hard,,,,Ruby,
Word Ladder,Trees and Graphs,Yes,UC,92,Hard,,,,Ruby,
Surrounded Regions,Trees and Graphs,Yes,UC,UC,Hard,,,,Ruby,
Lowest Common Ancestor of a Binary Tree,Trees and Graphs,Yes,UC,UC,Hard,,,,Ruby,
Binary Tree Maximum Path Sum,Trees and Graphs,Yes,90.48,76.19,Hard,,,,Ruby,
Friend Circles,Trees and Graphs,Yes,UC,UC,Hard,,,,Ruby,
Course Schedule,Trees and Graphs,Yes,UC,67.35,Hard,,,,Ruby,
Course Schedule II,Trees and Graphs,Yes,UC,72.41,Hard,,,,Ruby,
Longest Increasing Path in a Matrix,Trees and Graphs,Yes,UC,UC,Hard,,,,Ruby,
Alien Dictionary,Trees and Graphs,No: Wrong Answer,,,Hard,,,,Ruby,
Count of Smaller Numbers After Self,Trees and Graphs,Yes,UC,UC,Hard,,,,Ruby,
Palindrome Partitioning,Back Tracking,Yes,UC,UC,Hard,,,,Ruby,
Word Search II,Back Tracking,"No, Wrong answer. Might get it right with some examples",,,Hard,,,,Ruby,
Remove Invalid Parentheses,Back Tracking,Yes,UC,UC,Hard,,,,Ruby,
Wildcard Matching,Back Tracking,"No, Time Limit Exceeded",,,Hard,,,,Ruby,
Regular Expression Matching,Back Tracking,Yes,UC,75,Hard,,,,Ruby,
Wiggle Sort II,Sorting and Searching,"No, Wrong answer. Might work with some examples",,,Hard,,,,Ruby,
Kth Smallest Element in a Sorted Matrix,Sorting and Searching,"No, Wrong answer. Might work with some examples",,,Hard,,,,Ruby,
Median of Two Sorted Arrays,Sorting and Searching,Yes,22.36,68.35,Hard,,,,Ruby,
Maximum Product Subarray,Dynamic Programming,Yes,94,70,Hard,,,,Ruby,
Decode Ways,Dynamic Programming,Yes,8.33,UC,Hard,,,,Ruby,
Best Time to Buy and Sell Stock with Cooldown,Dynamic Programming,Yes,UC,29.41,Hard,,,,Ruby,
Perfect Squares,Dynamic Programming,Yes,UC,UC,Hard,,,,Ruby,
Word Break,Dynamic Programming,Yes,66.15,UC,Hard,,,,Ruby,
Word Break II,Dynamic Programming,Yes,UC,UC,Hard,,,,Ruby,
Burst Balloons,Dynamic Programming,"No, Runtime Error. NilClass thing again",,,Hard,,,,Ruby,
LRU Cache,Design,Yes,UC,60,Hard,,,,Ruby,
Implement Trie (Prefix Tree),Design,Yes,58.21,26.86,Hard,,,,Ruby,
Flatten Nested List Iterator,Design,Yes,UC,64.71,Hard,,,,Ruby,
Find Median from Data Stream,Design,Yes,UC,UC,Hard,,,,Ruby,
Largest Number,Math,"No, Wrong answer. But could be corrected with Examples",,,Hard,,,,Ruby,
Max Points on a Line,Math,"No, Runtime Error. NilClass thing",,,Hard,,,,Ruby,
Queue Reconstruction by Height,Others,Yes,UC,UC,Hard,,,,Ruby,
Trapping Rain Water,Others,Yes,UC,82.61,Hard,,,,Ruby,
The Skyline Problem,Others,"No, Wrong answer. Might be right with examples.",,,Hard,,,,Ruby,
Largest Rectangle in Histogram,Others,Yes,UC,63.64,Hard,,,,Ruby,
,,,,,,,,,,
,,,,,,,,,,
Remove Duplicates from Sorted Array,,No Elixir,,,Easy,,,,Elixir,
Best Time to Buy and Sell Stock II,Array,Compile Error,,,Easy,,,,Elixir,
Rotate Array,Array,No Elixir,,,Easy,,,,Elixir,
Contains Duplicate,Array,RuntimeError: Not a list,,,Easy,Yes,"No stats given, Not enough people",,Elixir,
Single Number,Array,"Compile Error: uses bitwise token symbol ⊕ inside the code, which is Not recognised ",,,Easy,"No: after being told the symbol is invalid, it offers aNother solution that doesn't compile: canNot use ^num outside of match clauses",,,Elixir,
Intersection of Two Arrays II,Array,No: Wrong Answer,,,Easy,Yes: After being told of its mistake,only one other person,,Elixir,
Plus One,Array,No: Wrong Answer,,,Easy,"No: After being told of its wrong answer, it produces the same wrong answer",,,Elixir,
Move Zeroes,Array,No Elixir,,,Easy,,,,Elixir,
Two Sum,Array,No: Compile Error: undefined function return,,,Easy,No: runtime error,,,Elixir,
Valid Sudoku,Array,No: Compile Error: undefined function return,,,Easy,No: wrong answer,,,Elixir,
Rotate Image ,Array,No Elixir,,,Easy,,,,Elixir,
Shuffle an Array,Design,N0: Compilation Error: canNot invoke remote function Access.get/2 inside a match,,,Easy,No: runtime error: match error,,,Elixir,
Min Stack,Design,No: Runtime Error: (FunctionClauseError) No function clause matching in Enum.min_sort_fun/1,,,Easy,same error,,,Elixir,
Fizz Buzz,Math,Yes,None,73.91,Easy,,,,Elixir,
CountPrimes,Math,"No: Compile Error: Line 11: Char 90: ** (SyntaxError) syntax error before: '(' | 11 | if primes[i], do: Enum.each(Enum.filter(Enum.keys(primes), fn j -> j > i end, &:rem(j, i) == 0), fn j -> | ^ (elixir 1.13.0) lib/kernel/parallel_compiler.ex:346: aNonymous fn/5 in Kernel.ParallelCompiler.spawn_workers/7",,,Easy,"No: Runtime Error Message:
Line 13: ** (UndefinedFunctionError) function Enum.keys/1 is undefined or private",,,Elixir,
Power of three,Math,"No: Runtime Error Message:
Line 7: ** (UndefinedFunctionError) function :math.log/2 is undefined or private.",,,Easy,"No: Compile Error Line 11: Char 50: ** (SyntaxError) syntax error before: '^' | 11 | defp is_power_of_three_helper(n, x) when n == 3^x, do: true | ^ (elixir 1.13.0) lib/kernel/parallel_compiler.ex:346: aNonymous fn/5 in Kernel.ParallelCompiler.spawn_workers/7",,,Elixir,
Roman to Integer,Math,"No: Runtime Error Message:
Line 17: ** (Protocol.UndefinedError) protocol Enumerable Not implemented for ""III"" of type BitString",,,Easy,"No: Runtime Error Message:
Line 23: ** (ArithmeticError) bad argument in arithmetic expression",,,Elixir,
Climbing stairs,Dynamic Programming,"No: Line 9: ** (ArithmeticError) bad argument in arithmetic expression: 1 + nil
    :erlang.+(1, nil): Line 9: ** (ArgumentError) the Access calls for keywords expect the key to be an atom, got: 1",,,Easy,"No: Runtime Error: Line 9: ** (ArithmeticError) bad argument in arithmetic expression: 1 + nil
    :erlang.+(1, nil)",,,Elixir,
Best Time to Buy and Sell Stock,Dynamic Programming,No: Wrong Answer,,,Easy,No; Wrong Answer,,,Elixir,
Maximum Subarray,Dynamic Programming,No: Wrong Answer,,,Easy,No; Wrong Answer,,,Elixir,
House Robber,Dynamic Programming,Yes,too few people,,Easy,,,,Elixir,
Delete Node in a Linked List,Linked List,No Elixir,,,Easy,,,,Elixir,
Remove Nth Node from the End of the List,Linked List,No: Compile Error: Line 38: ** (CompileError) canNot invoke remote function Node.next/0 inside a match,,,Easy,No: Compile Error: Line 20: ** (CompileError) canNot invoke remote function Node.next/0 inside a match,,,Elixir,
Reverse Linked List,Linked List,No: Compile Error: Line 18: ** (CompileError) canNot invoke remote function current.next/0 inside a match,,,Easy,No: Compile Error: Line 20: ** (CompileError) canNot invoke remote function Node.next/0 inside a match,,,Elixir,
Merge two soorted Lists,Linked List,Yes,Not enough submissions,,Easy,,,,Elixir,
Palindrome Linked List,Linked List,No: Line 36: ** (CompileError) canNot invoke remote function head.next/0 inside a match,,,Easy,No: Line 38: ** (CompileError) canNot invoke remote function head.next/0 inside a match,,,Elixir,
Linked List Cycle,Linked List,No Elixir,,,Easy,,,,Elixir,
Maximum Depth of Binary Tree,Trees,Yes,Not enough people,,Easy,,,,Elixir,
Validate Binary Search Tree,Trees,No: Compile Error: Line 18: Char 8: ** (SyntaxError) syntax error before: '.' | 18 | @. Node.val > @.prev_val && is_valid_bst(Node.right) | ^ (elixir 1.13.0) lib/kernel/parallel_compiler.ex:346: aNonymous fn/5 in Kernel.ParallelCompiler.spawn_workers/7,,,Easy,"No: Compile Error: Line 33: ** (CompileError) undefined function is_valid_bst/2 (expected Solution to define such a function or for it to be imported, but None are available)",,,Elixir,
Symmetric Tree,Trees,Yes,Not enough people,,Easy,,,,Elixir,
Binary Tree Level Order Traversal,Trees,"No: Line 20: ** (CompileError) undefined function while/2 (expected Solution to define such a function or for it to be imported, but None are available)",,,Easy,Yes,Not enough,,Elixir,
Convert Sorted Array to Binary Search Tree,Trees,Yes,Not enough,,Easy,,,,Elixir,
Reverse String,Strings,No Elixir,,,Easy,,,,Elixir,
Reverse Integer,Strings,Yes,,,Easy,,,,Elixir,
First Unique Character in a String,Strings,"No: Compile Error: Line 16: ** (CompileError) undefined function return/1 (expected Solution to define such a function or for it to be imported, but None are available)",,,Easy,"No: Line 16: ** (CompileError) undefined function return/1 (expected Solution to define such a function or for it to be imported, but None are available)","Yes: 51.06 runtime, 13.02 mem",,Elixir,
Valid Anagram,Strings,"No: Line 6: ** (CompileError) undefined function return/1 (expected Solution to define such a function or for it to be imported, but None are available)",,,Easy,Yes,,,Elixir,
Valid Palindrome,Strings,Yes,,,Easy,,"Yes: 99.82, 33.31",,Elixir,
String to Integer (atoi),Strings,"No: Compile Error: Line 68: Char 1: ** (TokenMissingError) missing terminator: end (for ""do"" starting at line 1) HINT: it looks like the ""do"" on line 1 does Not have a matching ""end"" | 68 | | ^ (elixir 1.13.0) lib/kernel/parallel_compiler.ex:346: aNonymous fn/5 in Kernel.ParallelCompiler.spawn_workers/7",,,Easy,"No: Compile Error: Line 68: Char 1: ** (TokenMissingError) missing terminator: end (for ""do"" starting at line 1) HINT: it looks like the ""do"" on line 1 does Not have a matching ""end"" | 68 | | ^ (elixir 1.13.0) lib/kernel/parallel_compiler.ex:346: aNonymous fn/5 in Kernel.ParallelCompiler.spawn_workers/7","3rd time it worked: 79.43, 66.85 ",,Elixir,
Implement strStr(),Strings,No: Wrong Answer,,,Easy,"No: Runtime Error Message:
Line 7: ** (UndefinedFunctionError) function Kernel.-/0 is undefined or private.",,,Elixir,
Longest Common Prefix,Strings,No: Wrong Answer,,,Easy,No; wrong Answer,,,Elixir,
Merge Sorted Array,Sorting and Searching,,,,Easy,,,,Elixir,
Fix Bad Version,Sorting and Searching,,,,Easy,,,,Elixir,
Number of 1 Bits,Others,No Elixir,,,Easy,,,,Elixir,
Hamming Distance,Others,"Np: Compile Error: Line 6: ** (CompileError) undefined function &&&/2 (expected Solution to define such a function or for it to be imported, but None are available)",,,Easy,"Np: Line 6: ** (CompileError) undefined function band/2 (expected Solution to define such a function or for it to be imported, but None are available)",,,Elixir,
Reverse Bits,Others,No Elixir,,,Easy,,Yes: 52.34,,Elixir,
Pascal's Triangle,Others,"No: Runtime Error Message:
Line 15: ** (ArithmeticError) bad argument in arithmetic expression: nil + nil",,,Easy,Runtime Error Message:Line 17: ** (ArithmeticError) b,,,Elixir,
Valid Paranthesis,Others,"Line 14: ** (CompileError) undefined function return/1 (expected Solution to define such a function or for it to be imported, but None are available)",,,Easy,"Runtime Error Message:Line 6: ** (Protocol.UndefinedError) protocol Enumerable Not implemented for ""()"" of type BitString",,,Elixir,
Missing Number,Others,No: Compile Error: Line 5: Char 34: ** (SyntaxError) syntax error before: 'div' | 5 | expected_sum = (n * (n + 1)) div 2 | ^ (elixir 1.13.0) lib/kernel/parallel_compiler.ex:346: aNonymous fn/5 in Kernel.ParallelCompiler.spawn_workers/7,,,Easy,Yes: Not enough,,,Elixir,
,,,,,,,,,,
3Sum,Array and Strings,compile error,,,Medium,,,,Elixir,
Set Matrix Zeroes,Array and Strings,No elixir,,,Medium,,,,Elixir,
Group Anagrams,Array and Strings,wrong answer,,,Medium,,,,Elixir,
Longest Substring Without Repeating Characters,Array and Strings,wrong answer,,,Medium,,,,Elixir,
Longest Palindromic Substring,Array and Strings,compile error,,,Medium,,,,Elixir,
Increasing Triplet Subsequence,Array and Strings,compile error,,,Medium,,,,Elixir,
Count and Say,Array and Strings,compile error,,,Medium,,,,Elixir,
Add Two Numbers,Linked List,compile error,,,Medium,,,,Elixir,
Odd Even Linked List,Linked List,compile error,,,Medium,,,,Elixir,
Intersection of Two Linked Lists,Linked List,No elixir,,,Medium,,,,Elixir,
Binary Tree INorder Traversal,Trees and Graphs,compile error,,,Medium,,,,Elixir,
Binary Tree Zigzag Level Order Traversal,Trees and Graphs,compile error,,,Medium,,,,Elixir,
Construct Binary Tree from Preorder and INorder Traversal,Trees and Graphs,Yes,,,Medium,,,,Elixir,
Populating Next Right Pointers in Each Node,Trees and Graphs,No elixir,,,Medium,,,,Elixir,
Kth Smallest Element in a BST,Trees and Graphs,runtime error,,,Medium,,,,Elixir,
Number of Islands,Trees and Graphs,compile error,,,Medium,,,,Elixir,
Letter Combinations of a Phone Number,Backtracking,Yes,,,Medium,,,,Elixir,
Generate Parentheses,Backtracking,wrong answer,,,Medium,,,,Elixir,
Permutations,Backtracking,wrong answer,,,Medium,,,,Elixir,
Subsets,Backtracking,Yes,,,Medium,,,,Elixir,
Word Search,Backtracking,compile error,,,Medium,,,,Elixir,
Sort Colors,Sorting and Searching,No elixir,,,Medium,,,,Elixir,
Top K Frequent Elements,Sorting and Searching,runtime error,,,Medium,,,,Elixir,
Kth Largest Element in an Array,Sorting and Searching,compile error,,,Medium,,,,Elixir,
Find Peak Element,Sorting and Searching,runtime error,,,Medium,,,,Elixir,
Search for a Range,Sorting and Searching,compile error,,,Medium,,,,Elixir,
Merge Intervals,Sorting and Searching,compile error,,,Medium,,,,Elixir,
Search in Rotated Sorted Array,Sorting and Searching,runtime error,,,Medium,,,,Elixir,
Search a 2D Matrix II,Sorting and Searching,No elixir,,,Medium,,,,Elixir,
Jump Game,Dynamic Programming,compile error,,,Medium,,,,Elixir,
Unique Paths,Dynamic Programming,compile error,,,Medium,,,,Elixir,
Coin Change,Dynamic Programming,compile error,,,Medium,,,,Elixir,
Longest Increasing Subsequence,Dynamic Programming,compile error,,,Medium,,,,Elixir,
Serialize and Deserialize Binary Tree,Design,No elixir,,,Medium,,,,Elixir,
Insert Delete GetRandom O(1),Design,compile error,,,Medium,,,,Elixir,
Sum of Two Integers,Others,compile error,,,Medium,,,,Elixir,
Evaluate Reverse Polish Notation,Others,runtime error,,,Medium,,,,Elixir,
Majority Element,Others,compile error,,,Medium,,,,Elixir,
Task Scheduler,Others,runtime error,,,Medium,,,,Elixir,
Happy Number,Math,compile error,,,Medium,,,,Elixir,
Factorial Trailing Zeroes,Math,compile error,,,Medium,,,,Elixir,
Excel Sheet Column Number,Math,compile error,,,Medium,,,,Elixir,
"Pow(x, n)",Math,runtime error,,,Medium,,,,Elixir,
Sqrt(x),Math,compile error,,,Medium,,,,Elixir,
Divide Two Integers,Math,compile error,,,Medium,,,,Elixir,
Fraction to Recurring Decimal,Math,compile error,,,Medium,,,,Elixir,
,,,,,,,,,,
Product of Array Except Self,Array and Strings,No runtime error,,,Hard,,,,Elixir,
4Sum II,Array and Strings,Yes,beats 100 % since No one uses elixir lol,,Hard,,,,Elixir,
Game of Life,Array and Strings,,,,Hard,,,,Elixir,
Longest Consecutive Sequence,Array and Strings,No compile error,,,Hard,,,,Elixir,
Sliding Window Maximum,Array and Strings,No compile error,,,Hard,,,,Elixir,
Spiral Matrix,Array and Strings,No compile error,,,Hard,,,,Elixir,
Container With Most Water,Array and Strings,No compile error,,,Hard,,,,Elixir,
First Missing Positive,Array and Strings,No compile error,,,Hard,,,,Elixir,
Find the Duplicate Number,Array and Strings,No compile error,,,Hard,,,,Elixir,
Basic Calculator II,Array and Strings,No compile error,,,Hard,,,,Elixir,
Minimum Window Substring,Array and Strings,No compile error,,,Hard,,,,Elixir,
Merge k Sorted Lists,Linked List,No compile error,,,Hard,,,,Elixir,
Sort List,Linked List,No compile error,,,Hard,,,,Elixir,
Copy List with Random Pointer,Linked List,,,,Hard,,,,Elixir,
Word Ladder,Trees and Graphs,No compile error,,,Hard,,,,Elixir,
Surrounded Regions,Trees and Graphs,,,,Hard,,,,Elixir,
Lowest Common Ancestor of a Binary Tree,Trees and Graphs,,,,Hard,,,,Elixir,
Binary Tree Maximum Path Sum,Trees and Graphs,No compile error,,,Hard,,,,Elixir,
Number of Provinces,Trees and Graphs,No runtime error,,,Hard,,,,Elixir,
Course Schedule,Trees and Graphs,No compile error,,,Hard,,,,Elixir,
Course Schedule II,Trees and Graphs,No compile error,,,Hard,,,,Elixir,
Longest Increasing Path in a Matrix,Trees and Graphs,No compile error,,,Hard,,,,Elixir,
Count of Smaller Numbers After Self,Trees and Graphs,No compile error,,,Hard,,,,Elixir,
Palindrome Partitioning,Backtracking,No compile error,,,Hard,,,,Elixir,
Word Search II,Backtracking,No compile error,,,Hard,,,,Elixir,
Remove Invalid Parentheses,Backtracking,No compile error,,,Hard,,,,Elixir,
Wildcard Matching,Backtracking,No compile error,,,Hard,,,,Elixir,
Regular Expression Matching,Backtracking,No compile error,,,Hard,,,,Elixir,
Wiggle Sort II,Sorting and Searching,,,,Hard,,,,Elixir,
Kth Smallest Element in a Sorted Matrix,Sorting and Searching,No compile error,,,Hard,,,,Elixir,
Median of Two Sorted Arrays,Sorting and Searching,No compile error,,,Hard,,,,Elixir,
Maximum Product Subarray,Dynamic Programming,wrong answer,,,Hard,,,,Elixir,
Decode Ways,Dynamic Programming,No compile error,,,Hard,,,,Elixir,
Best Time to Buy and Sell Stock with Cooldown,Dynamic Programming,wrong answer,,,Hard,,,,Elixir,
Perfect Squares,Dynamic Programming,No compile error,,,Hard,,,,Elixir,
Word Break,Dynamic Programming,compile error,,,Hard,,,,Elixir,
Word Break II,Dynamic Programming,No compile error,,,Hard,,,,Elixir,
Burst Balloons,Dynamic Programming,No compile error,,,Hard,,,,Elixir,
LRU Cache,Design,No compile error,,,Hard,,,,Elixir,
Implement Trie (Prefix Tree),Design,No runtime error,,,Hard,,,,Elixir,
Flatten Nested List Iterator,Design,,,,Hard,,,,Elixir,
Find Median from Data Stream,Design,No runtime error,,,Hard,,,,Elixir,
Largest Number,Math,No compile error,,,Hard,,,,Elixir,
Max Points on a Line,Math,No runtime error,,,Hard,,,,Elixir,
Queue Reconstruction by Height,Others,wrong answer,,,Hard,,,,Elixir,
Trapping Rain Water,Others,No runtime error,,,Hard,,,,Elixir,
The Skyline Problem,Others,No runtime error,,,Hard,,,,Elixir,
Largest Rectangle in Histogram,Others,No compile error,,,Hard,,,,Elixir,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Newer questions,,,,,,,,,,
,,,,,,,,,,
2605. Form Smallest Number From Two Digit Arrays,,No: Wrong Answer 75/388,,,Easy,,"No, 261, 284, 284, 330",,Python,
2582. Pass the Pillow,,"No: Wrong Answer, 1/68",,,Easy,,"No, 47/68, then goes back to 1/68 ):, then 5/68, then 29/68",,Python,
2574. Left and Right Sum Differences,,Yes,,,Easy,,,,Python,
2578. Split With Minimum Sum,,No: Runtime Error: not checking edge case of empty string,,,Easy,,"No: 10/140, wrong answer, then another runtime err, then 91/140, then stuck on 10/140",,Python,
2570. Merge Two 2D Arrays by Summing Values,,Yes,,,Easy,,,,Python,
2566. Maximum Difference by Remapping a Digit,,"No: Wrong Answer: 0/214 passed, not sure of mistake",,,Easy,,"No: 0/214, did not change code at all, same on third time",,Python,
2562. Find the Array Concatenation Value,,Yes,,,Easy,,,,Python,
2558. Take Gifts From the Richest Pile,,Yes,,,Easy,,,,Python,
2553. Separate the Digits in an Array,,Yes,,,Easy,,,,Python,
2549. Count Distinct Numbers on Board,,"No: Wrong Answer: 1/100 passed, small mistake (forgot to substract 1), The difference in this implementation is the condition in the inner loop, which now checks whether (x-1) % i == 0 instead of x % i == 1 ",,,Easy,,"(yes 3rd time) No: Wrong Answer, 99/100 cases passes, missed an edge case, accepted on the third attempt (after being told of its wrong answers)",,Python,
2544. Alternating Digit Sum,,"No: Wrong Answer: 15/118 passed, basically did the same sign change twice, returning all numbers as they were, without the sign change needed",,,Easy,,"Yes, made an elegant change, added a new variable",,Python,
2540. Minimum Common Value,,Yes,,,Easy,,,,Python,
2529. Maximum Count of Positive Integer and Negative Integer,,Yes,,,Easy,,,,Python,
2535. Difference Between Element Sum and Digit Sum of an Array,,Yes,,,Easy,,,,Python,
2586. Count the Number of Vowel Strings in Range,,Yes,,,Easy,,,,Python,
2595. Number of Even and Odd Bits,,Yes,,,Easy,,,,Python,
2609. Find the Longest Balanced Substring of a Binary String,,"No: Wrong Answer, 361/1848",,,Easy,,"No, 769, 769, 525(same as before), 769",,Python,
2591. Distribute Money to Maximum Children,,No: Wrong Answer 140 / 3802,,,Easy,,"No, 140/3802, 2880 / 3802, 2901 / 3802, 1616/3802, ",,Python,
2600. K Items With the Maximum Sum,,Yes,,,Easy,,,,Python,
2525. Categorize Box According to Criteria,,Yes,,,Easy,,,,Python,
,,,,,,,,,,
2611. Mice and Cheese,,No: Wrong Answer 1/564,,,Medium,,"Yes (4th time) 45, 0,  then correct",,Python,
2610. Convert an Array Into a 2D Array With Conditions,,"No: Wrong Answer 451/1035, skipped over some numbers by using .pop() to get them, instead of just looking at them",,,Medium,,"Yes (3rd), 29, then correct on third try",,Python,
2607. Make K-Subarray Sums Equal,,No: Wrong Answer 363 / 1040,,,Medium, ,"No, 528/1040, 614, 370, runtime error",,Python,
2606. Find the Substring With Maximum Cost,,Yes,,,Medium,,,,Python,
2602. Minimum Operations to Make All Array Elements Equal,,No: Wrong Answer 0/31,,,Medium,,"No, 0/31, sticks to this",,Python,
2601. Prime Subtraction Operation,,No: Wrong Answer: 513 / 654,,,Medium,,"No, 513/654, same",,Python,
2599. Make the Prefix Sum Non-negative,,No: Wrong Answer 16/66,,,Medium,,"No, 1/66, 32/66, 32/66, 32/66",,Python,
2598. Smallest Missing Non-negative Integer After Operations,,No: Wrong Answer 238 / 1061,,,Medium,,"No, mistake on same input x 4 (stopped making changes after 4th try)",,Python,
2597. The Number of Beautiful Subsets,,No: Wrong Answer 122 / 1307,,,Medium,,"mistake on same input (was given hints), stopped making changes to code after 4th try",,Python,
2596. Check Knight Tour Configuration,,Yes,,,Medium,,,,Python,
2594. Minimum Time to Repair Cars,,No: Wrong Answer,,,Medium,,No: mistake on same input (was even given hints) all 4 times,,Python,
2593. Find Score of an Array After Marking All Elements,,No: Time Limit Exceeded,,,Medium,,"went to wrong answer, stuck on mistake on same input even after hint",,Python,
2592. Maximize Greatness of an Array,,No: Wrong Answer,,,Medium,,"Yes, 4th time, after hint",,Python,
2590. Design a Todo List,,Yes,,,Medium,,,,Python,
2588. Count the Number of Beautiful Subarrays,,Yes,,,Medium,,,,Python,
2587. Rearrange Array to Maximize Prefix Score,,Yes ,,,Medium,,,,Python,
2583. Kth Largest Sum in a Binary Tree,,Yes,,,Medium,,,,Python,
2580. Count Ways to Group Overlapping Ranges,,No: Wrong Answer 2/32,,,Medium,,"No: Stuck on same wrong input, even with hint",,Python,
