,game,number of moves,faulty_move,moves place in top 10,moves score (centipawns),Comments
234,1.e4 1...e5 2.Nf3 2...a5 3.d4 3...Nc6 4.d5 4...g6 5.Bg5 5...Bc5 6.Nc3 6...f5 7.exf5 7...Qxg5,6.0,Nd5,"[2, 'None', 4, 'None', 3, 'None', 8, 'None', 6, 'None', 10, 'None']","[49, 'None', 97, 'None', 179, 'None', 190, 'None', 291, 'None', 347, 'None']",
235,1.e4 1...e5 2.Nf3 2...Bb4 3.Bd3 3...Ne7 4.Nxe5 4...Nec6 5.Nxc6 5...Qe7 6.Nd4 6...Nc6 7.Nf5 7...Rg8 8.Qf3 8...a5,7.0,Qd5,"[2, 'None', 8, 'None', 3, 'None', 4, 'None', 1, 'None', 1, 'None', 9, 'None']","[49, 'None', 55, 'None', 89, 'None', 125, 'None', 1080, 'None', 671, 'None', 619, 'None']",
236,1.e4 1...e5 2.Nf3 2...f6 3.d4 3...h5 4.dxe5 4...g6 5.Nc3 5...Bc5,4.0,Bxh5,"[2, 'None', 1, 'None', 2, 'None', 2, 'None']","[49, 'None', 133, 'None', 279, 'None', 374, 'None']",
237,1.e4 1...e5 2.Nf3 2...f5 3.d4 3...b6 4.Bd3 4...Qe7 5.Nc3 5...a5 6.Nd5 6...Na6 7.Bxa6 7...Qb4+ 8.c3# 8...Qe7,7.0,c3#,"[2, 'None', 3, 'None', 7, 'None', 2, 'None', 4, 'None', 2, 'None', 3, 'None']","[49, 'None', 63, 'None', 194, 'None', 287, 'None', 406, 'None', 558, 'None', 585, 'None']",
238,1.e4 1...e5 2.Nf3 2...c6 3.d4 3...h6 4.dxe5 4...c5 5.Nc3 5...Rh7 6.Bd3 6...f6 7.exf6 7...Qxf6,6.0,Bxh7,"[2, 'None', 4, 'None', 1, 'None', 2, 'None', 14, 'None', 9, 'None']","[49, 'None', 65, 'None', 286, 'None', 368, 'None', 410, 'None', 507, 'None']",
239,1.e4 1...e5 2.Nf3 2...g6 3.d4 3...a6 4.Bc4 4...Bh6 5.Nc3 5...Kf8 6.dxe5 6...Qe7 7.Qd5 7...f6,6.0,Qxh5,"[2, 'None', 2, 'None', 1, 'None', 8, 'None', 3, 'None', 13, 'None']","[49, 'None', 147, 'None', 230, 'None', 181, 'None', 288, 'None', 271, 'None']",
240,1.e4 1...e5 2.Nf3 2...Nf6 3.d4 3...h5,2.0,White,"[2, 'None', 1, 'None']","[49, 'None', 69, 'None']",
241,1.e4 1...e5 2.Nf3 2...Bc5 3.Bc4 3...Bb6 4.d4 4...Na6 5.Bb3 5...d6 6.Nc3 6...Kf8 7.dxe5 7...Be6 8.Qd4 8...Bxb3 9.axb3 9...h6 10.Qd3 10...dxe5 11.Qd8+ 11...Rxd8,10.0,Qxe7,"[2, 'None', 7, 'None', 2, 'None', 20, 'None', 12, 'None', 2, 'None', -100, 'None', 8, 'None', 4, 'None', 2, 'None']","[49, 'None', 34, 'None', 112, 'None', 71, 'None', 14, 'None', 445, 'None', -100, 'None', -536, 'None', 173, 'None', 495, 'None']",
242,1.e4 1...e5 2.Nf3 2...d6 3.d4 3...a5 4.dxe5 4...Nc6 5.Bb5 5...Rb8 6.Bxc6 6...Bd7 7.Bd5 7...Ra8,6.0,Bxa8,"[2, 'None', 1, 'None', 1, 'None', 2, 'None', -100, 'None', 2, 'None']","[49, 'None', 66, 'None', 187, 'None', 174, 'None', -100, 'None', 761, 'None']",
243,1.e4 1...e5 2.Nf3 2...c6 3.d4 3...f5 4.dxe5 4...Nh6 5.Nc3 5...Qe7 6.Bd3 6...Qb4 7.a3 7...fxe4 8.Bxe4 8...Nf7 9.Qd5+ 9...b6 10.Qd7 10...Kxd7,9.0,Nd5+,"[2, 'None', 4, 'None', 9, 'None', 4, 'None', 3, 'None', 2, 'None', 8, 'None', -100, 'None', 9, 'None']","[49, 'None', 65, 'None', 111, 'None', 271, 'None', 360, 'None', 519, 'None', 415, 'None', -100, 'None', 162, 'None']",
244,1.e4 1...e5 2.Nf3 2...Na6 3.Bc4 3...Qf6 4.Qe2 4...d6 5.d4 5...Ne7 6.dxe5 6...c5 7.Nc3 7...h6,6.0,checkmate,"[2, 'None', 13, 'None', 12, 'None', 5, 'None', 2, 'None', 5, 'None']","[49, 'None', 61, 'None', 111, 'None', 114, 'None', 189, 'None', 445, 'None']",
245,1.e4 1...e5 2.Nf3 2...Bb4 3.Bd3 3...Bc5 4.c3 4...Bd6,3.0,Bxd6,"[2, 'None', 8, 'None', 2, 'None']","[49, 'None', 55, 'None', 49, 'None']",
246,1.e4 1...e5 2.Nf3 2...a5 3.d4 3...exd4,2.0,Bxa5,"[2, 'None', 4, 'None']","[49, 'None', 97, 'None']",
247,1.e4 1...e5 2.Nf3 2...h5 3.Nxe5 3...Nc6 4.d4 4...g5 5.d5 5...Nce7 6.Nxc6 6...Bg7 7.Nd4 7...h4 8.Nf3 8...Bh6,7.0,Bxh6,"[2, 'None', 1, 'None', 3, 'None', -100, 'None', -100, 'None', 2, 'None', -100, 'None']","[49, 'None', 176, 'None', 134, 'None', -100, 'None', -100, 'None', 224, 'None', -100, 'None']",
248,1.e4 1...e5 2.Nf3 2...d6 3.d4 3...exd4 4.Nxd4 4...Ne7 5.Nc3 5...Ng6 6.Bf4 6...Nh4 7.Bg3 7...Ng6 8.Qd2 8...h6 9.Nf3 9...Bg4 10.Qe3 10...Be6,9.0,Qxe6,"[2, 'None', 1, 'None', 4, 'None', 3, 'None', -100, 'None', 2, 'None', 6, 'None', -100, 'None', 10, 'None']","[49, 'None', 66, 'None', 41, 'None', 96, 'None', -100, 'None', 236, 'None', 188, 'None', -100, 'None', 140, 'None']",
249,1.e4 1...e5 2.Nf3 2...h5 3.Nxe5 3...f6 4.Nc6 4...dxc6 5.d4 5...g6,4.0,Bxh5,"[2, 'None', 1, 'None', -100, 'None', 5, 'None']","[49, 'None', 176, 'None', -100, 'None', -236, 'None']",
250,1.e4 1...c6 2.d4 2...f6 3.Nc3 3...d6 4.Nf3 4...Nd7 5.e5 5...c5 6.d5 6...b5 7.a4 7...Qc7 8.axb5 8...a5 9.b6 9...c4 10.b7 10...h6 11.Qd4 11...a4 12.Qd3 12...Qa5 13.Qd2 13...Qa7 14.Qd4 14...Qxb7 15.Qd3 15...Nb6 16.Qd2 16...g5,15.0,Qd2,"[1, 'None', 1, 'None', 7, 'None', -100, 'None', -100, 'None', 6, 'None', 14, 'None', 9, 'None', 6, 'None', -100, 'None', -100, 'None', 6, 'None', -100, 'None', -100, 'None', 7, 'None']","[112, 'None', 144, 'None', 144, 'None', -100, 'None', -100, 'None', 233, 'None', 221, 'None', 281, 'None', 404, 'None', -100, 'None', -100, 'None', 488, 'None', -100, 'None', -100, 'None', -221, 'None']",
251,1.e4 1...c6 2.d4 2...Nh6 3.Nf3 3...d5 4.e5 4...Qc7 5.Nc3 5...b5 6.Bd3 6...Be6,5.0,Bxe6,"[1, 'None', 9, 'None', 5, 'None', 7, 'None', 2, 'None']","[112, 'None', 103, 'None', 90, 'None', 113, 'None', 197, 'None']",
252,1.e4 1...c6 2.d4 2...b5 3.Bxb5 3...a5,2.0,Bxa5,"[1, 'None', -100, 'None']","[112, 'None', -100, 'None']",
253,1.e4 1...c6 2.d4 2...Nh6 3.Nf3 3...Ng8 4.e5 4...g5 5.Bxg5 5...Bh6 6.Bh4 6...d6 7.Qd2 7...Bd7,6.0,Qd2,"[1, 'None', 9, 'None', 12, 'None', 2, 'None', 7, 'None', -100, 'None']","[112, 'None', 103, 'None', 100, 'None', 292, 'None', 285, 'None', -100, 'None']",
254,1.e4 1...c6 2.d4 2...Qb6 3.Nc3 3...Nf6 4.Nd5 4...e5 5.dxe5 5...Bc5 6.Bd3 6...Ng8 7.Qg4 7...Bxf2+,6.0,Rxf2,"[1, 'None', 3, 'None', -100, 'None', 3, 'None', 8, 'None', 3, 'None']","[112, 'None', 101, 'None', -100, 'None', 27, 'None', -11, 'None', 105, 'None']",
255,1.e4 1...c6 2.d4 2...c5 3.Nc3 3...g6 4.d5 4...Bh6 5.e5 5...b6 6.Bxh6 6...Na6 7.Bxa6 7...f6 8.Qd3 8...c4 9.Qd2 9...e6 10.Qd3 10...f5 11.Qd2 11...Nxh6 12.Qxh6 12...Qe7 13.Qxh7# 13...Qb4,12.0,Qd3#,"[1, 'None', 4, 'None', 3, 'None', 19, 'None', 9, 'None', 7, 'None', -100, 'None', 2, 'None', -100, 'None', 4, 'None', -100, 'None', -100, 'None']","[112, 'None', 63, 'None', 222, 'None', 129, 'None', 173, 'None', 538, 'None', -100, 'None', 694, 'None', -100, 'None', 623, 'None', -100, 'None', -100, 'None']",
256,1.e4 1...c6 2.d4 2...b5 3.Bxb5 3...f5 4.Bc4 4...fxe4 5.Qh5+ 5...g6,4.0,Qxe4,"[1, 'None', -100, 'None', 3, 'None', -100, 'None']","[112, 'None', -100, 'None', 147, 'None', -100, 'None']",
257,1.e4 1...c6 2.d4 2...f5 3.e5 3...b5 4.Bxb5 4...d6,3.0,Bxd6,"[1, 'None', 3, 'None', -100, 'None']","[112, 'None', 125, 'None', -100, 'None']",
258,1.e4 1...c6 2.d4 2...g6 3.Nc3 3...e6 4.Nf3 4...h6 5.Bd3 5...Be7,4.0,Bd3,"[1, 'None', 5, 'None', 1, 'None', 9, 'None']","[112, 'None', 84, 'None', 141, 'None', 117, 'None']",
259,1.e4 1...c6 2.d4 2...g5 3.d5 3...Bh6,2.0,Bxh6,"[1, 'None', 19, 'None']","[112, 'None', 129, 'None']",
260,1.e4 1...c6 2.d4 2...d5 3.e5 3...Bf5 4.Bd3 4...Qc8 5.Bxf5 5...g6 6.Qe2 6...Nf6 7.Qe4 7...Nbd7 8.Qe2 8...Qc7 9.Nc3 9...Kd8 10.Qe4 10...Qc8 11.Qe2 11...Kc7 12.Qe4 12...Nxe4,11.0,dxe4,"[1, 'None', 1, 'None', 2, 'None', 4, 'None', -100, 'None', -100, 'None', 7, 'None', 16, 'None', -100, 'None', 7, 'None', -100, 'None']","[112, 'None', 69, 'None', 53, 'None', 53, 'None', -100, 'None', -100, 'None', 369, 'None', 411, 'None', -100, 'None', 150, 'None', -100, 'None']",
261,1.e4 1...c6 2.d4 2...h5 3.d5 3...a6 4.dxc6 4...f6 5.e5 5...g6 6.Bg5 6...Nh6 7.Bxh6 7...Rxh6 8.Qd4 8...fxe5 9.Qxe5+ 9...Rh7,8.0,move,"[1, 'None', 9, 'None', 17, 'None', -100, 'None', -100, 'None', 6, 'None', -100, 'None', 3, 'None']","[112, 'None', 72, 'None', 55, 'None', -100, 'None', -100, 'None', 59, 'None', -100, 'None', -46, 'None']",
262,1.e4 1...c6 2.d4 2...e6 3.Nf3 3...d6 4.Nc3 4...h6 5.Bd3 5...Qd7 6.Qe2 6...Ke7,5.0,Qe4+,"[1, 'None', 1, 'None', 19, 'None', 1, 'None', 1, 'None']","[112, 'None', 72, 'None', 73, 'None', 145, 'None', 202, 'None']",
263,1.e4 1...c6 2.d4 2...c5 3.Nc3 3...h6 4.Nf3 4...g6 5.Bg5 5...Na6 6.Bh4 6...f5 7.exf5 7...b5 8.Bg3 8...e5 9.dxe5 9...g5,8.0,Bxe5,"[1, 'None', 4, 'None', 3, 'None', -100, 'None', 1, 'None', 1, 'None', 8, 'None', 5, 'None']","[112, 'None', 63, 'None', 183, 'None', -100, 'None', 340, 'None', 361, 'None', 440, 'None', 506, 'None']",
264,1.e4 1...c6 2.d4 2...Qb6 3.Nc3 3...Na6 4.Nf3 4...e6 5.Bb5 5...Nc7 6.Bxc6 6...f6 7.Bd5 7...exd5,6.0,capture,"[1, 'None', 3, 'None', 9, 'None', -100, 'None', 11, 'None', 2, 'None']","[112, 'None', 101, 'None', 106, 'None', -100, 'None', -317, 'None', 113, 'None']",
265,1.e4 1...c6 2.d4 2...c5 3.Nc3 3...cxd4,2.0,Nxd4,"[1, 'None', 4, 'None']","[112, 'None', 63, 'None']",
266,1.e4 1...c6 2.d4 2...Na6 3.Bxa6 3...Nh6 4.Bxh6 4...g6 5.Bxg7 5...Rg8 6.Bf6 6...Bh6 7.Bxh8 7...Rb8,6.0,Bd4,"[1, 'None', 5, 'None', 5, 'None', -100, 'None', 16, 'None', -100, 'None']","[112, 'None', 108, 'None', 450, 'None', -100, 'None', 374, 'None', -100, 'None']",
267,1.e4 1...c6 2.d4 2...h5 3.Nf3 3...f5 4.e5 4...Rh6 5.Bxh6 5...Nxh6 6.Qd3 6...Ng8,5.0,Qxh7#,"[1, 'None', 3, 'None', 7, 'None', 3, 'None', 11, 'None']","[112, 'None', 91, 'None', 223, 'None', 351, 'None', 333, 'None']",
268,1.e4 1...c6 2.d4 2...Na6 3.Bxa6 3...Qc7 4.Bb5+ 4...Nf6,3.0,Qd4,"[1, 'None', 5, 'None', -100, 'None']","[112, 'None', 108, 'None', -100, 'None']",
269,1.e4 1...c6 2.d4 2...d6 3.Nc3 3...a5 4.Bd3 4...Kd7 5.e5 5...Kc7 6.Qe2 6...dxe5 7.dxe5 7...b5 8.Bxb5 8...Ba6 9.Bxa6 9...Nxa6,8.0,checkmate,"[1, 'None', 8, 'None', 4, 'None', 9, 'None', 15, 'None', 1, 'None', 6, 'None', 1, 'None']","[112, 'None', 63, 'None', 101, 'None', 138, 'None', 218, 'None', 290, 'None', 332, 'None', 463, 'None']",
270,1.e4 1...c6 2.d4 2...b5 3.Bxb5 3...Qc7 4.Bxc6 4...f5 5.Bd5 5...Kd8,4.0,move,"[1, 'None', -100, 'None', 11, 'None', 2, 'None']","[112, 'None', -100, 'None', -195, 'None', 346, 'None']",
271,1.e4 1...c6 2.d4 2...b6 3.Bb5+ 3...f6 4.Bd3 4...Qc7 5.e5 5...a5,4.0,Bxa5,"[1, 'None', -100, 'None', 1, 'None', -100, 'None']","[112, 'None', -100, 'None', 180, 'None', -100, 'None']",
272,1.e4 1...c6 2.d4 2...b5 3.Bxb5 3...e6,2.0,Bb4+,"[1, 'None', -100, 'None']","[112, 'None', -100, 'None']",
273,1.e4 1...c6 2.d4 2...Qb6 3.Nc3 3...Nh6 4.Bxh6 4...Qa5 5.Bd3 5...Qd5 6.Bb5+ 6...Qf5 7.Qd3 7...Qxb5,6.0,Qxf5,"[1, 'None', 3, 'None', -100, 'None', 13, 'None', -100, 'None', -100, 'None']","[112, 'None', 101, 'None', -100, 'None', 150, 'None', -100, 'None', -100, 'None']",
274,1.e4 1...c6 2.d4 2...Qb6 3.Nc3 3...Qb4,2.0,Nd5,"[1, 'None', 3, 'None']","[112, 'None', 101, 'None']",
275,1.e4 1...c6 2.d4 2...h6 3.Nf3 3...g5 4.h3 4...e6 5.Bxg5 5...Qe7 6.Qd2 6...Nf6,5.0,Qxh6,"[1, 'None', 8, 'None', 7, 'None', -100, 'None', 14, 'None']","[112, 'None', 57, 'None', 120, 'None', -100, 'None', -282, 'None']",
276,1.e4 1...c6 2.d4 2...f6 3.Nc3 3...e5 4.dxe5 4...fxe5,3.0,Nxe5,"[1, 'None', 1, 'None', 1, 'None']","[112, 'None', 144, 'None', 225, 'None']",
277,1.e4 1...c6 2.d4 2...d5 3.e5 3...g6 4.f4 4...f6 5.Bd3 5...Nh6 6.Nf3 6...fxe5 7.fxe5 7...Nf5 8.Bxf5 8...Qa5+ 9.Qd2# 9...Qc3,8.0,Qd2#,"[1, 'None', 1, 'None', 17, 'None', 4, 'None', 4, 'None', 2, 'None', -100, 'None', 10, 'None']","[112, 'None', 69, 'None', 67, 'None', 78, 'None', 90, 'None', 133, 'None', -100, 'None', 18, 'None']",
278,1.e4 1...c6 2.d4 2...Na6 3.Bxa6 3...Qc7 4.Bb5 4...a6 5.Bxc6 5...e6 6.Nf3 6...a5 7.Bd5 7...Ra6,6.0,Bd5,"[1, 'None', 5, 'None', -100, 'None', 7, 'None', 5, 'None', 4, 'None']","[112, 'None', 108, 'None', -100, 'None', 69, 'None', 148, 'None', 224, 'None']",
279,1.e4 1...c6 2.d4 2...b5 3.Bxb5 3...Qa5+ 4.Nc3# 4...g5 5.Qd3# 5...h6,4.0,Qd3#,"[1, 'None', -100, 'None', 2, 'None', 17, 'None']","[112, 'None', -100, 'None', -228, 'None', -69, 'None']",
280,1.e4 1...c6 2.d4 2...e6 3.Nf3 3...Na6 4.Bxa6 4...Qe7 5.Bb5+ 5...Qb4+ 6.c3# 6...f5,5.0,Qxb4,"[1, 'None', 1, 'None', 2, 'None', -100, 'None', 1, 'None']","[112, 'None', 72, 'None', 139, 'None', -100, 'None', 582, 'None']",
281,1.e4 1...c6 2.d4 2...h5,1.0,Bxh5,"[1, 'None']","[112, 'None']",
282,1.e4 1...c6 2.d4 2...Qb6 3.Nc3 3...e6 4.Nf3 4...Qa5 5.Bd2 5...f5 6.Bd3 6...Nh6 7.Qe2 7...Na6,6.0,Qe4,"[1, 'None', 3, 'None', 3, 'None', 4, 'None', 4, 'None', 2, 'None']","[112, 'None', 101, 'None', 98, 'None', 149, 'None', 298, 'None', 337, 'None']",
283,1.e4 1...c6 2.d4 2...a5 3.d5 3...e6 4.Nf3 4...h6,3.0,Bxa5,"[1, 'None', 7, 'None', 7, 'None']","[112, 'None', 63, 'None', 53, 'None']",
284,1.e4 1...c6 2.d4 2...Na6 3.Bxa6 3...Qb6 4.Bxb7 4...d5,3.0,Bxd5,"[1, 'None', 5, 'None', 6, 'None']","[112, 'None', 108, 'None', 140, 'None']",
285,1.e4 1...c6 2.d4 2...f6 3.Nc3 3...d5 4.e5 4...Qb6 5.Nd5 5...g6 6.Bd3 6...Qxd4 7.Bxg6 7...Kd7 8.Bf7 8...Qb4+ 9.Qd2# 9...Kd8,8.0,Qd2#,"[1, 'None', 1, 'None', -100, 'None', -100, 'None', 11, 'None', 1, 'None', 14, 'None', 7, 'None']","[112, 'None', 144, 'None', -100, 'None', -100, 'None', -214, 'None', 575, 'None', -85, 'None', -98, 'None']",
286,1.e4 1...c6 2.d4 2...e6 3.Nf3 3...Na6 4.Bxa6 4...c5 5.dxc5 5...bxa6,4.0,Bd3,"[1, 'None', 1, 'None', 2, 'None', 20, 'None']","[112, 'None', 72, 'None', 139, 'None', 81, 'None']",
287,1.e4 1...c6 2.d4 2...f6 3.Nc3 3...d5 4.e5 4...Be6,3.0,Bxe6,"[1, 'None', 1, 'None', -100, 'None']","[112, 'None', 144, 'None', -100, 'None']",
288,1.e4 1...c6 2.d4 2...Qc7 3.Nc3 3...e6 4.Nf3 4...Na6 5.Bb5+ 5...Ne7 6.Bd3 6...b5 7.a4 7...bxa4 8.Bxa6 8...g6 9.Bb7 9...h5,8.0,Bxg7,"[1, 'None', 7, 'None', 2, 'None', -100, 'None', 2, 'None', 5, 'None', -100, 'None', -100, 'None']","[112, 'None', 57, 'None', 99, 'None', -100, 'None', 142, 'None', 160, 'None', -100, 'None', -100, 'None']",
289,1.e4 1...c6 2.d4 2...c5 3.d5 3...f5 4.e5 4...d6 5.Nc3 5...Nc6 6.Nf3 6...g5 7.Bxg5 7...Nb8 8.Bf6 8...Kf7 9.Qd2 9...dxe5,8.0,Qd8+,"[1, 'None', 1, 'None', 4, 'None', 3, 'None', 3, 'None', 5, 'None', -100, 'None', 12, 'None']","[112, 'None', 122, 'None', 229, 'None', 188, 'None', 408, 'None', 470, 'None', -100, 'None', 281, 'None']",
290,1.e4 1...c6 2.d4 2...g6 3.Nf3 3...b5 4.Bxb5 4...c5 5.dxc5 5...Nh6 6.Nc3 6...Ng8 7.Qd4 7...Bb7 8.Qxg7 8...f6,7.0,checkmate,"[1, 'None', 2, 'None', -100, 'None', 2, 'None', 2, 'None', -100, 'None', -100, 'None']","[112, 'None', 95, 'None', -100, 'None', 279, 'None', 440, 'None', -100, 'None', -100, 'None']",
291,1.e4 1...c6 2.d4 2...d5 3.e5 3...Bf5 4.Bd3 4...Bxd3 5.Qxd3 5...Qc7 6.Nc3 6...Qc8 7.Qd1 7...a6 8.Qd2 8...Kd8 9.Qd3 9...g6,8.0,Qd4,"[1, 'None', 1, 'None', 2, 'None', 1, 'None', 4, 'None', -100, 'None', -100, 'None', 8, 'None']","[112, 'None', 69, 'None', 53, 'None', 42, 'None', 40, 'None', -100, 'None', -100, 'None', 115, 'None']",
292,1.e4 1...c6 2.d4 2...f6 3.Nc3 3...h5 4.e5 4...Qb6 5.Qd2 5...Qb4 6.Qd3 6...Qa5,5.0,Qxa5,"[1, 'None', 1, 'None', 12, 'None', 15, 'None', 1, 'None']","[112, 'None', 144, 'None', 143, 'None', 165, 'None', 267, 'None']",
293,1.e4 1...c6 2.d4 2...e6 3.Nf3 3...Bd6 4.Bd3 4...Nh6 5.Qe2 5...c5 6.dxc5 6...Bg3,5.0,Qxg3,"[1, 'None', 1, 'None', 4, 'None', 1, 'None', 10, 'None']","[112, 'None', 72, 'None', 122, 'None', 244, 'None', 142, 'None']",
294,1.e4 1...c6 2.d4 2...Na6 3.Bxa6 3...h6 4.Bc4 4...Qb6 5.Nc3 5...e5 6.dxe5 6...Nf6 7.Nf3 7...Qb4 8.a3 8...Nh7 9.Bd3 9...Qa5 10.Qd2 10...Bb4,9.0,Bxb4,"[1, 'None', 5, 'None', 4, 'None', 12, 'None', 3, 'None', 8, 'None', 10, 'None', 9, 'None', 5, 'None']","[112, 'None', 108, 'None', 563, 'None', 619, 'None', 913, 'None', 664, 'None', 603, 'None', 848, 'None', 790, 'None']",
295,1.e4 1...c6 2.d4 2...Nf6 3.Nc3 3...h6 4.Nf3 4...Ng4 5.h3 5...e5 6.dxe5 6...Qg5,5.0,Qxg5,"[1, 'None', 1, 'None', 8, 'None', 2, 'None', 3, 'None']","[112, 'None', 103, 'None', 91, 'None', 187, 'None', 417, 'None']",
296,1.e4 1...c6 2.d4 2...Nf6 3.Nc3 3...Qa5 4.Bd2 4...Qc7 5.Nf3 5...Ng8 6.Bd3 6...Kd8 7.Qe2 7...b5 8.Qe3 8...Ke8,7.0,Qe4,"[1, 'None', 1, 'None', 5, 'None', 3, 'None', 5, 'None', 6, 'None', 13, 'None']","[112, 'None', 103, 'None', 98, 'None', 110, 'None', 150, 'None', 254, 'None', 282, 'None']",
297,1.e4 1...c6 2.d4 2...a6 3.Nf3 3...c5 4.d5 4...c4 5.Bxc4 5...e6 6.Bb3 6...Nh6 7.dxe6 7...Ra7 8.Bxh6 8...Qa5+ 9.Nc3# 9...Ke7,8.0,Nc3#,"[1, 'None', 7, 'None', 3, 'None', 2, 'None', 8, 'None', 20, 'None', 1, 'None', 3, 'None']","[112, 'None', 52, 'None', 122, 'None', 303, 'None', 285, 'None', 266, 'None', 687, 'None', 723, 'None']",
298,1.e4 1...c6 2.d4 2...d5 3.e5 3...a5,2.0,Bxa5,"[1, 'None', 1, 'None']","[112, 'None', 69, 'None']",
299,1.e4 1...c6 2.d4 2...e6 3.Nf3 3...a5,2.0,Bxa5,"[1, 'None', 1, 'None']","[112, 'None', 72, 'None']",
300,1.e4 1...c6 2.d4 2...a6 3.Nf3 3...h6 4.Bxa6 4...bxa6 5.Qd3 5...d6 6.Qxa6 6...d5 7.Qd3 7...e5,6.0,Qxe5,"[1, 'None', 7, 'None', -100, 'None', 11, 'None', -100, 'None', 3, 'None']","[112, 'None', 52, 'None', -100, 'None', -327, 'None', -100, 'None', -475, 'None']",
301,1.e4 1...c6 2.d4 2...d5 3.e5 3...g6 4.f4 4...Be6 5.Bd3 5...Qc8 6.Nf3 6...a5,5.0,Bxe6,"[1, 'None', 1, 'None', 17, 'None', 1, 'None', 2, 'None']","[112, 'None', 69, 'None', 67, 'None', 118, 'None', 128, 'None']",
302,1.e4 1...c6 2.d4 2...f6 3.Nc3 3...Kf7 4.e5 4...g5 5.Bxg5 5...a5,4.0,checkmate,"[1, 'None', 1, 'None', 1, 'None', 20, 'None']","[112, 'None', 144, 'None', 273, 'None', 260, 'None']",
303,1.e4 1...c6 2.d4 2...g5,1.0,dxe5,"[1, 'None']","[112, 'None']",
304,1.e4 1...c6 2.d4 2...d6 3.Nc3 3...a6 4.Nf3 4...Be6,3.0,Bxe6,"[1, 'None', 8, 'None', 1, 'None']","[112, 'None', 63, 'None', 128, 'None']",
305,1.e4 1...c6 2.d4 2...e5 3.dxe5 3...Qc7 4.Nf3 4...f6 5.exf6 5...Nh6 6.Bxh6 6...Qb6 7.Bd3 7...Qxb2,6.0,Rb1,"[1, 'None', 1, 'None', 2, 'None', 2, 'None', 18, 'None', -100, 'None']","[112, 'None', 233, 'None', 209, 'None', 219, 'None', 331, 'None', -100, 'None']",
306,1.e4 1...c6 2.d4 2...Na6 3.Bxa6 3...f6 4.Bd3 4...a5 5.Bd2 5...h6 6.Nc3 6...Rb8,5.0,Bc3,"[1, 'None', 5, 'None', 1, 'None', 14, 'None', 12, 'None']","[112, 'None', 108, 'None', 935, 'None', 716, 'None', 801, 'None']",
307,1.e4 1...c6 2.d4 2...b6 3.Bb5+ 3...f6 4.Bd3 4...c5 5.dxc5 5...Qc7,4.0,Qd4,"[1, 'None', -100, 'None', 1, 'None', 7, 'None']","[112, 'None', -100, 'None', 180, 'None', 139, 'None']",
308,1.e4 1...c6 2.d4 2...e5 3.dxe5 3...a5 4.Nf3 4...b5 5.Bd3 5...d6,4.0,Bd3,"[1, 'None', 1, 'None', 2, 'None', 9, 'None']","[112, 'None', 233, 'None', 196, 'None', 237, 'None']",
309,1.e4 1...c6 2.d4 2...f5 3.exf5 3...h5 4.g4 4...Qc7 5.gxh5 5...Nf6 6.Nc3 6...b6 7.Nf3 7...Qd6 8.Bd3 8...b5 9.Bxb5 9...g5 10.Nxg5 10...cxb5,9.0,Qh5+,"[1, 'None', 1, 'None', -100, 'None', 17, 'None', 3, 'None', 19, 'None', 1, 'None', -100, 'None', 8, 'None']","[112, 'None', 231, 'None', -100, 'None', 106, 'None', 145, 'None', 164, 'None', 324, 'None', -100, 'None', 52, 'None']",
310,1.e4 1...c6 2.d4 2...Qc7 3.Nc3 3...d5 4.e5 4...e6 5.Nf3 5...b5 6.Bd3 6...a6 7.a4 7...h6 8.axb5 8...g6 9.Bxg6 9...a5 10.Qd2 10...Bd7 11.Qd3 11...a4 12.Qd1 12...Qc8 13.Qd2 13...Na6 14.Qd3 14...fxg6 15.Qd1 15...Nb8 16.Qd2 16...Kf7,15.0,Qd2,"[1, 'None', 7, 'None', 4, 'None', 6, 'None', 1, 'None', 1, 'None', 8, 'None', -100, 'None', -100, 'None', 5, 'None', -100, 'None', -100, 'None', -100, 'None', -100, 'None', 14, 'None']","[112, 'None', 57, 'None', 65, 'None', 76, 'None', 168, 'None', 150, 'None', 102, 'None', -100, 'None', -100, 'None', 278, 'None', -100, 'None', -100, 'None', -100, 'None', -100, 'None', -264, 'None']",
311,1.e4 1...c6 2.d4 2...Qc7 3.Nc3 3...g5 4.d5 4...Nf6 5.e5 5...a5 6.Bg5 6...d6 7.Bxf6 7...Nd7 8.Bd3 8...Qd8 9.Qe2 9...Nb6 10.Qe4 10...Rg8 11.Qxg4 11...Rg6 12.Qe4 12...h5 13.Qe3 13...Be6 14.Qf4 14...Qc8,13.0,move,"[1, 'None', 7, 'None', 2, 'None', -100, 'None', -100, 'None', 4, 'None', 11, 'None', 6, 'None', 19, 'None', -100, 'None', 4, 'None', -100, 'None', 14, 'None']","[112, 'None', 57, 'None', 303, 'None', -100, 'None', -100, 'None', 204, 'None', 167, 'None', 305, 'None', 503, 'None', -100, 'None', 322, 'None', -100, 'None', 390, 'None']",
312,1.e4 1...c6 2.d4 2...d6 3.Nc3 3...b5 4.Bd3 4...e6 5.e5 5...h5,4.0,Bxh5,"[1, 'None', 8, 'None', -100, 'None', 18, 'None']","[112, 'None', 63, 'None', -100, 'None', 65, 'None']",
